n,p,d,overlap,c,ks
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,0,3.1623
1000,0.5,5,0,1.1111,3.1623
1000,0.5,5,0,1.1111,3.1623
1000,0.5,5,0,1.1111,3.1623
1000,0.5,5,0,1.1111,3.1623
1000,0.5,5,0,1.1111,3.1623
1000,0.5,5,0,1.1111,3.1623
1000,0.5,5,0,1.1111,3.1623
1000,0.5,5,0,1.1111,3.1623
1000,0.5,5,0,1.1111,3.1623
1000,0.5,5,0,1.1111,3.1623
1000,0.5,5,0,1.1111,3.1623
